bandwidth_0,time_0,bandwidth_1,time_1,bandwidth_2,time_2,bandwidth_3,time_3,bandwidth_4,time_4,bandwidth_5,time_5,bandwidth_6,time_6,bandwidth_7,time_7,bandwidth_8,time_8,bandwidth_9,time_9,bandwidth_10,time_10,bandwidth_11,time_11,bandwidth_12,time_12,bandwidth_13,time_13,
0.0113636,0.011264,0.0416667,0.012288,0.181818,0.011264,0.666667,0.012288,2.66667,0.012288,10.6667,0.012288,46.5455,0.011264,157.538,0.013312,455.111,0.018432,682.667,0.049152,771.012,0.17408,816.648,0.657408,811.277,2.64704,808.229,10.6281,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.8,0.01024,2.90909,0.011264,10.6667,0.012288,46.5455,0.011264,157.538,0.013312,481.882,0.017408,668.735,0.050176,789.59,0.169984,816.648,0.657408,812.22,2.64397,808.618,10.623,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,481.882,0.017408,668.735,0.050176,766.503,0.175104,817.922,0.656384,812.22,2.64397,808.307,10.6271,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.8,0.01024,2.90909,0.011264,12.8,0.01024,46.5455,0.011264,157.538,0.013312,481.882,0.017408,668.735,0.050176,789.59,0.169984,815.378,0.658432,813.48,2.63987,809.086,10.6168,
0.0104167,0.012288,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,455.111,0.018432,668.735,0.050176,780.19,0.172032,814.112,0.659456,813.796,2.63885,808.696,10.622,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,455.111,0.018432,668.735,0.050176,780.19,0.172032,816.648,0.657408,812.535,2.64294,808.307,10.6271,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.66667,0.012288,12.8,0.01024,51.2,0.01024,157.538,0.013312,455.111,0.018432,655.36,0.0512,780.19,0.172032,815.378,0.658432,812.535,2.64294,808.93,10.6189,
0.0113636,0.011264,0.05,0.01024,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,455.111,0.018432,642.51,0.052224,789.59,0.169984,815.378,0.658432,811.906,2.64499,808.774,10.6209,
0.0104167,0.012288,0.05,0.01024,0.2,0.01024,0.666667,0.012288,2.90909,0.011264,11.6364,0.011264,51.2,0.01024,170.667,0.012288,455.111,0.018432,642.51,0.052224,784.862,0.171008,815.378,0.658432,812.85,2.64192,808.774,10.6209,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.8,0.01024,3.2,0.01024,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,455.111,0.018432,642.51,0.052224,784.862,0.171008,816.648,0.657408,812.22,2.64397,808.852,10.6199,
0.0113636,0.011264,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,51.2,0.01024,170.667,0.012288,455.111,0.018432,642.51,0.052224,784.862,0.171008,816.648,0.657408,813.165,2.6409,808.696,10.622,
0.0113636,0.011264,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,12.8,0.01024,46.5455,0.011264,170.667,0.012288,481.882,0.017408,655.36,0.0512,775.574,0.173056,819.2,0.65536,811.906,2.64499,808.541,10.624,
0.0125,0.01024,0.0416667,0.012288,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,481.882,0.017408,642.51,0.052224,784.862,0.171008,824.352,0.651264,812.535,2.64294,808.696,10.622,
0.0104167,0.012288,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,51.2,0.01024,170.667,0.012288,481.882,0.017408,655.36,0.0512,780.19,0.172032,820.482,0.654336,811.906,2.64499,808.852,10.6199,
0.0125,0.01024,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,455.111,0.018432,655.36,0.0512,784.862,0.171008,823.058,0.652288,812.22,2.64397,808.618,10.623,
